Index,SeriesName,SeriesCode,CountryName,CountryCode,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
46,GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,21.87126608,19.87080121,20.13316914,19.89091991,17.82969832,18.57523203,20.63619995,23.41584363,23.4945962
47,GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,61.75364713,58.50750805,61.1911937,62.54898473,53.25485637,54.66399837,57.61009818,61.5985367,60.17034264
48,GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,1.45154298,1.559240651,2.312728803,2.464327841,2.658978753,2.802197051,2.914383856,3.141889219,3.41492487
49,GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,7.065061847,6.848394227,7.016676471,7.318103783,7.596435062,8.080968623,7.274721333,7.69387887,8.110568512
50,GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,5.913432072,6.110369652,6.238133608,6.608828102,6.921517228,7.280880109,7.6093388,8.05063044,8.282116359
51,GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,5.20055579,5.682045007,6.056330827,6.37709153,6.124491643,6.060093329,6.213501276,6.295935399,6.183823825
52,GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,2.791810799,3.22968563,3.262658029,3.37955851,3.562932735,3.519873203,2.444290311,2.537125365,3.019205829
53,GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,3.266012062,3.42840718,3.509531493,3.589042193,3.705577946,3.805993666,3.910257193,4.067659449,4.187250031
54,GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,21.64187052,21.71115323,20.39071932,19.39402999,11.28346561,9.250331953,9.667912252,10.14419581,8.131923888
55,GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,17.62154796,17.53442135,19.17410033,20.36710316,17.52223019,18.43725282,20.45846073,23.17070738,23.72330611
56,GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,4.496600379,4.527668988,4.230344056,4.038557228,3.679799799,3.425559509,3.914613252,4.106197153,3.894679807
57,GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,0.354479576,0.467077927,0.499531572,0.566926467,0.640541891,0.717124593,0.768522308,0.771523814,0.855760862
58,GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,4.37145751,4.591555784,4.840693716,5.605570356,5.390745258,5.651318055,6.101030839,6.317487853,6.17588872
59,GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,51.08199767,47.71079022,49.87804324,50.26029986,42.78469836,43.78428396,46.33666325,50.03087731,48.78278848
60,GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,43.79073205,40.87470351,42.59293409,43.0112631,36.63818493,37.03737419,38.81216103,41.63109074,40.49392857
61,GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,10.80964645,9.813477703,9.68357629,9.66342924,7.38471587,6.984451019,7.230396393,7.956627816,7.767013404
62,GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,0.762761054,0.742781138,0.700514972,0.607428404,0.660723571,0.690778886,0.679756914,0.732717514,0.777811932
63,GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,4.021743306,4.421818242,4.623745725,4.739188338,4.014185944,4.062169888,4.357000936,4.722787783,4.697704576
64,GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,46.64477603,43.85836306,46.28576407,47.95999327,41.08672967,42.10751727,44.55281937,47.81050767,46.4452491
65,GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,1.549462902,1.587561237,2.345392906,1.971033347,1.743850996,1.93138947,2.025932424,2.202312164,2.202115567
